6 0.14368
8 0.02258
10 0.02329
12 0.02283
14 0.02340
16 0.14403
18 0.02453
20 0.02492
22 0.02448
26 0.02401
28 0.02427
32 0.02421
36 0.02487
42 0.02470
46 0.02567
52 0.02429
58 0.02427
66 0.02465
74 0.02485
84 0.02484
94 0.02484
106 0.02563
118 0.02485
132 0.02511
150 0.03029
168 0.03046
188 0.03110
212 0.03651
238 0.03696
268 0.04499
302 0.05266
338 0.05826
380 0.07372
428 0.08604
482 0.11492
542 0.14730
608 0.16830
684 0.20447
768 0.25072
864 0.30797
972 0.43615
1092 0.48415
1228 0.66925
1380 3.52840
1552 2.05318
1744 1.59326
1962 1.56301
2204 2.11251
2478 2.53300
2786 3.35223
3132 5.72902
3522 8.40063
3960 7.74489
4452 12.50838
5004 13.66413
5626 21.85778
6324 24.79317
