10 0.004061 0.007823 0.6613022500000003
10 0.004153 0.007303 0.681827083
12 0.005909 0.010606 1.0176742499999998
13 0.007039 0.012108 1.0835219160000005
14 0.007743 0.013639 1.307782500000001
15 0.00926 0.01533 1.4557409999999997
17 0.011983 0.018787 1.884309666
19 0.014984 0.024708 2.3428938749999997
21 0.018018 0.028385 2.8305658340000015
23 0.021622 0.033259 3.3640275419999988
25 0.025879 0.040315 4.0127280830000025
28 0.031954 0.051477 5.032265208000002
30 0.0357 0.055766 5.691267291999999
33 0.043999 0.070054 6.938487875
37 0.05403 0.085953 8.682319624999998
40 0.065428 0.098436 9.918722041999992
44 0.076112 0.118499 11.857577707999994
49 0.096306 0.14387 14.514995874999997
54 0.113964 0.183069 17.644239791999993
59 0.136777 0.209537 20.958140499999985
65 0.164511 0.250655 25.463332542000018
71 0.197308 0.30335 31.141925291999996
79 0.245498 0.377048 37.586742791000006
86 0.287245 0.44577 44.443233042
95 0.353127 0.5473 54.22002250000003
104 0.421016 0.772935 69.78479212500002
115 0.542624 0.817923 80.410253292
126 0.617216 0.943016 96.05620620799999
138 0.738949 1.177973 114.39624400000002
152 0.894911 1.408091 139.050804125
167 1.09386 1.664902 168.83836687500002
184 1.31665 2.023369 202.188732458
202 1.56491 2.365617 245.12729979200003
222 1.90438 2.859397 297.54621275
244 2.31102 3.605171 358.9145944170002
268 2.78641 4.274505 431.3900315000001
294 3.36665 5.346525 520.6735110840004
323 4.11856 6.489611 628.7437299580001
355 4.8964 7.706841 760.5209165419997
390 5.91222 9.193941 919.3941472079996
429 7.14281 11.133876 1117.9623614579996
471 8.62222 13.616878 1344.5224155839996
517 10.6456 16.436034 1622.2740409580001
568 12.5918 19.2216 1951.895564458
625 15.1936 24.368213 2364.0691071250003
686 18.2757 28.473492 2850.2190704160002
754 22.2474 35.678026 3450.579787417002
828 26.7234 41.189379 4251.861814458
910 32.9443 52.40055 5062.671546375001
1000 39.2904 60.412175 6073.800588959002
