6 0.01609
8 0.01598
10 0.01662
12 0.0166
14 0.01669
16 0.01684
18 0.01687
20 0.01661
22 0.01666
24 0.01707
28 0.0171
32 0.01732
36 0.01746
40 0.01751
46 0.01739
52 0.01755
58 0.01746
64 0.01761
72 0.01755
82 0.01795
92 0.01788
104 0.01978
118 0.01976
132 0.01993
148 0.02189
166 0.02224
188 0.02443
212 0.02674
238 0.0291
268 0.03363
300 0.03708
338 0.04397
380 0.05118
428 0.05912
480 0.07052
540 0.08174
608 0.09826
682 0.11818
768 0.14378
864 0.17452
970 0.2201
1092 0.26274
1226 0.32242
1380 0.401
1550 0.49794
1744 0.62373
1960 0.7799
2204 0.98008
2478 1.23046
2786 1.54845
3132 1.95268
3522 2.46796
3958 3.11231
4450 3.9247
5004 4.95663
5624 6.24916
6324 7.89539
