10 0.05158 0.458703 5.687989099998958
11 0.06875 0.526708 7.569058199995197
12 0.090211 0.547268 9.632615400012583
13 0.111648 0.604343 12.113181200023973
14 0.140164 0.65684 15.034900600003311
16 0.206206 0.815352 22.40503059999901
17 0.247846 0.886732 26.734123000002
19 0.347147 1.115706 37.68935940001393
21 0.466032 1.392008 50.64183310000226
23 0.609548 1.714066 66.65082770001027
26 0.884233 2.303081 96.6670187000127
28 1.10012 2.814655 119.94542629999341
31 1.48211 3.657266 163.48304009999265
34 1.98544 4.703684 215.90845679998165
38 2.76804 6.503714 299.8082585000084
42 3.68484 8.654251 405.43947599999956
46 4.83403 11.368382 534.3569145999791
51 6.64227 15.510854 732.8820550999953
56 8.74554 20.314505 967.5014878999791
61 11.3469 26.408029 1250.047920699988
68 15.7093 36.527076 1729.408932099992
74 20.2744 47.730945 2235.2843227999983
82 27.5832 65.900692 3017.5402394999983
90 36.2831 86.158832 3984.2617746999895
