0 -0.00120 -0.00080
10 -0.90100 -0.03900
20 -0.94180 -0.10860
30 -0.95940 -0.17360
40 -0.96100 -0.23560
50 -0.96320 -0.23660
60 -0.96360 -0.24360
70 -0.96120 -0.22460
80 -0.96400 -0.22400
90 -0.96260 -0.19520
